workclass,occupation,avg_hours,cnt,rnk
?,?,31.812433011789924,2799,1
Federal-gov,Prof-specialty,43.41106719367589,253,1
Federal-gov,Exec-managerial,42.264925373134325,268,2
Federal-gov,Adm-clerical,40.42915811088296,487,3
Local-gov,Protective-serv,44.24888888888889,450,1
Local-gov,Exec-managerial,42.93957703927492,331,2
Local-gov,Prof-specialty,41.85014137606032,1061,3
Local-gov,Craft-repair,41.203791469194314,211,4
Local-gov,Transport-moving,38.42307692307692,156,5
Local-gov,Adm-clerical,36.80047505938242,421,6
Local-gov,Other-service,36.37,300,7
Private,Exec-managerial,44.913391739674594,3995,1
Private,Transport-moving,44.82446808510638,1880,2
Private,Farming-fishing,42.77462686567164,670,3
Private,Craft-repair,42.27485256950295,4748,4
Private,Prof-specialty,42.23173951305368,3409,5
Private,Machine-op-inspct,40.777238029146424,2882,6
Private,Tech-support,39.76689774696707,1154,7
Private,Protective-serv,39.4180602006689,299,8
Private,Sales,39.400315386348275,4439,9
Private,Handlers-cleaners,37.79095163806552,1923,10
Private,Adm-clerical,37.74881178707224,4208,11
Private,Other-service,34.22430367266453,4057,12
Private,Priv-house-serv,33.02479338842975,242,13
Self-emp-inc,Prof-specialty,50.55510204081633,245,1
Self-emp-inc,Exec-managerial,49.546191247974065,617,2
Self-emp-inc,Sales,48.24285714285714,420,3
Self-emp-inc,Craft-repair,46.65269461077844,167,4
Self-emp-not-inc,Farming-fishing,51.617151607963244,653,1
Self-emp-not-inc,Transport-moving,49.2896174863388,183,2
Self-emp-not-inc,Sales,45.81895093062606,591,3
Self-emp-not-inc,Exec-managerial,44.46166950596252,587,4
Self-emp-not-inc,Craft-repair,41.9937343358396,798,5
Self-emp-not-inc,Prof-specialty,41.692173913043476,575,6
Self-emp-not-inc,Other-service,38.68115942028985,276,7
State-gov,Protective-serv,42.78285714285714,175,1
State-gov,Exec-managerial,41.958188153310104,287,2
State-gov,Prof-specialty,40.15421303656598,629,3
State-gov,Adm-clerical,35.925333333333334,375,4
State-gov,Other-service,35.15183246073298,191,5
